LEAGUE	Player	win%	O/U	line #	stat	win:lose	Success?
NBA	Ivica Zubac	0.56	UNDER	21.5	pts+trb+ast	WIN	1.272727272727273	1
NBA	Ivica Zubac	0.56	UNDER	9.5	trb	WIN	1.272727272727273	1
NBA	Killian Hayes	0.56	UNDER	2.5	tov	LOSE	1.272727272727273	0
NBA	Herbert Jones	0.4307692307692308	UNDER	4	trb	WIN	1.2727272727272727	1
NBA	Norman Powell	0.559322033898305	UNDER	17.5	pts	LOSE	1.2692307692307692	0
NBA	Norman Powell	0.559322033898305	UNDER	20.5	pts+trb	LOSE	1.2692307692307692	0
NBA	Klay Thompson	0.5588235294117647	UNDER	29.5	pts+trb+ast	WIN	1.2666666666666668	1
NBA	Quentin Grimes	0.5571428571428572	UNDER	3.5	trb	WIN	1.2580645161290323	1
NBA	Draymond Green	0.5555555555555556	OVER	15.5	pts+trb	LOSE	1.2500000000000002	0
NBA	Jordan Poole	0.5555555555555556	OVER	26.5	pts+trb+ast	WIN	1.2500000000000002	1
NBA	RJ Barrett	0.5555555555555556	UNDER	8.5	trb+ast	WIN	1.2500000000000002	1
NBA	Russell Westbrook	0.5555555555555556	UNDER	7.5	ast	LOSE	1.2500000000000002	0
NBA	Russell Westbrook	0.5555555555555556	UNDER	12.5	trb+ast	LOSE	1.2500000000000002	0
NBA	Mitchell Robinson	0.5517241379310345	UNDER	9.5	trb	LOSE	1.2307692307692308	0
NBA	Grant Williams	0.5512820512820513	UNDER	13.5	pts+trb	WIN	1.2285714285714286	1
NBA	Rudy Gobert	0.5507246376811594	UNDER	27.5	pts+trb+ast	WIN	1.2258064516129032	1
NBA	Rudy Gobert	0.5507246376811594	UNDER	12.5	trb	WIN	1.2258064516129032	1
NBA	Eric Gordon	0.55	OVER	12.5	pts+ast	LOSE	1.2222222222222223	0
NBA	Eric Gordon	0.55	OVER	0.5	stl	LOSE	1.2222222222222223	0
NBA	Donte DiVincenzo	0.5492957746478874	UNDER	1.5	tov	LOSE	1.21875	0
NBA	Kawhi Leonard	0.5490196078431373	OVER	1.5	blk+stl	LOSE	1.2173913043478262	0
NBA	Corey Kispert	0.547945205479452	UNDER	0.5	ft	LOSE	1.2121212121212122	0
NBA	Ivica Zubac	0.5466666666666666	UNDER	20.5	pts+trb	WIN	1.2058823529411764	1
NBA	Jalen Green	0.5466666666666666	UNDER	2.5	fg3	WIN	1.2058823529411764	1
NBA	De'Andre Hunter	0.5454545454545454	OVER	0.5	blk+stl	LOSE	1.2	0
NBA	Jarred Vanderbilt	0.5217391304347826	UNDER	6	trb	WIN	1.2	1
NBA	Stephen Curry	0.5454545454545454	OVER	5.5	ast	WIN	1.2	1
NBA	Stephen Curry	0.5454545454545454	OVER	34.5	pts+ast	LOSE	1.2	0
NBA	Stephen Curry	0.5454545454545454	OVER	11.5	trb+ast	WIN	1.2	1
NBA	Jordan Poole	0.5432098765432098	UNDER	2.5	fg3	LOSE	1.1891891891891893	0
NBA	Jordan Poole	0.5432098765432098	OVER	19.5	pts	WIN	1.1891891891891893	1
NBA	Norman Powell	0.5423728813559322	UNDER	22.5	pts+trb+ast	LOSE	1.1851851851851851	0
NBA	Anthony Edwards	0.5	OVER	4	ast	EVEN	1.1818181818181819	0.5
NBA	Draymond Green	0.5416666666666666	UNDER	0.5	blk	LOSE	1.1818181818181819	0
NBA	Draymond Green	0.5416666666666666	UNDER	0.5	ft	WIN	1.1818181818181819	1
NBA	Draymond Green	0.5416666666666666	UNDER	8.5	pts	LOSE	1.1818181818181819	0
NBA	Draymond Green	0.5416666666666666	UNDER	15.5	pts+ast	WIN	1.1818181818181819	1
NBA	CJ McCollum	0.5405405405405406	UNDER	21.5	pts	LOSE	1.1764705882352942	0
NBA	CJ McCollum	0.5405405405405406	UNDER	26.5	pts+trb	LOSE	1.1764705882352942	0
NBA	Anthony Edwards	0.5384615384615384	OVER	25.5	pts	WIN	1.1666666666666665	1
NBA	Austin Reaves	0.4603174603174603	UNDER	3	trb	LOSE	1.16	0
NBA	Rudy Gobert	0.5362318840579711	OVER	2.5	ft	LOSE	1.15625	0
NBA	Rudy Gobert	0.5362318840579711	OVER	13.5	pts	LOSE	1.15625	0
NBA	Rudy Gobert	0.5362318840579711	UNDER	25.5	pts+trb	WIN	1.15625	1
NBA	Karl-Anthony Towns	0.5357142857142857	OVER	29.5	pts+trb	WIN	1.1538461538461537	1
NBA	Karl-Anthony Towns	0.5357142857142857	OVER	12.5	trb+ast	LOSE	1.1538461538461537	0
NBA	Mitchell Robinson	0.5344827586206896	OVER	7.5	pts	WIN	1.1481481481481481	1
NBA	Mitchell Robinson	0.5344827586206896	OVER	18.5	pts+trb+ast	WIN	1.1481481481481481	1
NBA	Nicolas Batum	0.5324675324675324	UNDER	0.5	stl	WIN	1.1388888888888888	1
NBA	Jordan Poole	0.5308641975308642	OVER	22.5	pts+trb	WIN	1.1315789473684212	1
NBA	Kawhi Leonard	0.5294117647058824	UNDER	31.5	pts+trb	LOSE	1.125	0
NBA	Kawhi Leonard	0.5294117647058824	OVER	35.5	pts+trb+ast	WIN	1.125	1
NBA	Klay Thompson	0.5294117647058824	UNDER	1.5	tov	LOSE	1.125	0
NBA	CJ McCollum	0.527027027027027	OVER	26.5	pts+ast	LOSE	1.114285714285714	0
NBA	CJ McCollum	0.527027027027027	UNDER	4.5	trb	LOSE	1.114285714285714	0
NBA	Norman Powell	0.5254237288135594	UNDER	19.5	pts+ast	LOSE	1.1071428571428572	0
NBA	Jarred Vanderbilt	0.4782608695652174	OVER	6	pts	WIN	1.1	1
NBA	Mike Conley	0.5238095238095238	OVER	12.5	pts	WIN	1.1	1
NBA	Mike Conley	0.5238095238095238	OVER	17.5	pts+ast	WIN	1.1	1
NBA	Mike Conley	0.5238095238095238	OVER	20.5	pts+trb+ast	WIN	1.1	1
NBA	Rudy Gobert	0.5217391304347826	OVER	15.5	pts+ast	LOSE	1.0909090909090908	0
NBA	Saddiq Bey	0.5217391304347826	UNDER	19.5	pts+trb	WIN	1.0909090909090908	1
NBA	Saddiq Bey	0.5217391304347826	UNDER	21.5	pts+trb+ast	WIN	1.0909090909090908	1
NBA	Ivica Zubac	0.5066666666666667	UNDER	11	pts	WIN	1.0857142857142859	1
NBA	Jaden Ivey	0.5205479452054794	UNDER	3.5	ft	WIN	1.0857142857142856	1
NBA	Ivica Zubac	0.52	OVER	11.5	pts+ast	LOSE	1.0833333333333335	0
NBA	Jalen Green	0.52	OVER	4.5	ft	LOSE	1.0833333333333335	0
NBA	LeBron James	0.5185185185185185	UNDER	1.5	blk+stl	LOSE	1.0769230769230769	0
NBA	Mitchell Robinson	0.5172413793103449	OVER	17.5	pts+trb	WIN	1.0714285714285714	1
NBA	Mitchell Robinson	0.5172413793103449	UNDER	10.5	trb+ast	LOSE	1.0714285714285714	0
NBA	Jordan Poole	0.41975308641975306	OVER	7	trb+ast	LOSE	1.0625	0
NBA	Draymond Green	0.5138888888888888	OVER	22.5	pts+trb+ast	LOSE	1.0571428571428572	0
NBA	RJ Barrett	0.5138888888888888	UNDER	0.5	blk+stl	LOSE	1.0571428571428572	0
NBA	RJ Barrett	0.5138888888888888	OVER	1.5	fg3	LOSE	1.0571428571428572	0
NBA	CJ McCollum	0.5135135135135135	UNDER	31.5	pts+trb+ast	WIN	1.0555555555555554	1
NBA	Anthony Edwards	0.5128205128205128	OVER	30.5	pts+ast	LOSE	1.0526315789473684	0
NBA	Anthony Edwards	0.5128205128205128	OVER	35.5	pts+trb+ast	WIN	1.0526315789473684	1
NBA	Anthony Edwards	0.5128205128205128	OVER	9.5	trb+ast	WIN	1.0526315789473684	1
NBA	Kawhi Leonard	0.5098039215686274	UNDER	24.5	pts	LOSE	1.04	0
NBA	Kawhi Leonard	0.5098039215686274	UNDER	28.5	pts+ast	LOSE	1.04	0
NBA	Kawhi Leonard	0.5098039215686274	UNDER	10.5	trb+ast	LOSE	1.04	0
NBA	Stephen Curry	0.509090909090909	OVER	4.5	ft	LOSE	1.037037037037037	0
NBA	Stephen Curry	0.509090909090909	OVER	40.5	pts+trb+ast	LOSE	1.037037037037037	0
NBA	Draymond Green	0.4305555555555556	OVER	7	trb	LOSE	1.0333333333333334	0
NBA	Ivica Zubac	0.4666666666666667	OVER	10	trb+ast	LOSE	1.0294117647058825	0
NBA	Rudy Gobert	0.5072463768115942	OVER	1.5	tov	LOSE	1.0294117647058825	0
NBA	Jalen Green	0.5066666666666667	OVER	3.5	trb	LOSE	1.0270270270270272	0
NBA	Onyeka Okongwu	0.5063291139240507	UNDER	0.5	stl	LOSE	1.0256410256410258	0
NBA	Anthony Edwards	0.5	OVER	2.5	fg3	WIN	1.0	1
NBA	Anthony Edwards	0.5	OVER	3.5	ft	WIN	1.0	1
NBA	Anthony Edwards	0.5	OVER	31.5	pts+trb	WIN	1.0	1
NBA	Eric Gordon	0.5	OVER	10.5	pts	LOSE	1.0	0
NBA	Eric Gordon	0.5	OVER	12.5	pts+trb	LOSE	1.0	0
NBA	LeBron James	0.5	OVER	6.5	ast	LOSE	1.0	0
NBA	Mitchell Robinson	0.5	OVER	1.5	blk	WIN	1.0	1
NBA	Russell Westbrook	0.5	OVER	20.5	pts+trb	WIN	1.0	1
NBA	Russell Westbrook	0.5	OVER	27.5	pts+trb+ast	WIN	1.0	1
